image_id,generated,reference,BLEU-1,BLEU-4,METEOR,ROUGE-L
img_014,"Woman carrying a large pot on her head, standing in front of a house with a wooden stick to her right.","A woman in rural India carrying a large water pot on her head, standing in front of a house.",0.5714,0.3333,0.6323,0.7000
img_004,"White plate with naan bread, chickpea curry, lemon slices, onions, and green chilies.","A white plate with naan bread, a bowl of chickpea curry (chole), lemon slices, onions, and green chilies â€” a classic North Indian dish.",0.3300,0.1287,0.4755,0.7222
img_009,Wooden table with a basket containing three golden-brown flatbreads.,A wooden basket containing three golden-brown flatbreads (chapati or roti) on a wooden table.,0.3188,0.0956,0.4167,0.5600
img_010,Four glasses of purple smoothie topped with almonds on a table with spoons and cloth. Text at the bottom.,"Four glasses of purple smoothie topped with almonds, placed on a table with spoons and a cloth.",0.7368,0.4375,0.7954,0.8333
img_007,White bowl of spiced okra curry on a black table. Golden-brown okra in deep red sauce.,"A white bowl of spiced okra curry (bhindi masala) on a black table, a common Indian vegetarian dish.",0.4412,0.1358,0.4307,0.5714
img_001,"A bowl of chicken tikka masala on a wooden cutting board, scattered with coriander leaves. Creamy red-orange curry with a small bowl of spices on the left.","A bowl of creamy chicken tikka masala curry on a wooden board, garnished with fresh coriander leaves and served with a side of spices.",0.5926,0.0137,0.5432,0.6538
img_008,White plate with four golden-brown crab cakes and a bowl of deep red sauce.,"Four golden-brown crab cakes on a white plate with a bowl of red sauce, an Indian-style snack or appetizer.",0.4498,0.0168,0.5803,0.5556
img_005,Person holding a black plate with powdered sugar cake topped with cherries. Hand visible on the right.,A person holding a black plate with a slice of cake dusted in powdered sugar and topped with cherries.,0.5752,0.1270,0.5984,0.6111
img_002,White plate of golden-brown crispy cauliflower and roti with a bowl of creamy white sauce.,"A white plate of golden-brown crispy cauliflower sabzi with roti and a bowl of creamy white sauce, a typical Indian home-style meal.",0.5435,0.2090,0.6314,0.7000
img_003,"Bowl filled with bright yellow lemons on a table, blurred background.",A bowl filled with bright yellow lemons placed on a table with a blurred background.,0.5688,0.1738,0.6110,0.8462
img_011,"Bowl filled with creamy white liquid, likely kheer or panna cotta, on a table with cloth.",A bowl filled with creamy white kheer or similar milk-based dessert on a table.,0.5000,0.0769,0.6282,0.6452
img_012,"Group of people riding motorcycles down a dirt road. Van and car in foreground, shed, trees, buildings, electric poles, and clear blue sky in background.","A group of people riding motorcycles on a dirt road in rural India, with a van, car, shed, trees, and electric poles in the background.",0.5200,0.0455,0.4856,0.6400
img_015,"Group of people standing in front of a brick mausoleum surrounded by green grass, plants, and trees under white fluffy clouds.","A group of people standing in front of a historic brick mausoleum or stupa surrounded by green grass, plants, and trees under a cloudy sky.",0.6691,0.4133,0.7277,0.7826
img_013,"Group of people riding motorcycles down a street lined with tall buildings, trees, and hoardings under cloudy sky.","Motorcyclists riding down an urban street lined with tall buildings, trees, and hoardings under a cloudy sky.",0.7778,0.4000,0.8001,0.7429
img_006,Two plates of chicken biryani on a table with a fork. Fragrant yellow-brown rice and golden-brown chicken pieces.,"Two plates of fragrant chicken biryani served with raita and a fork, a traditional layered Indian rice dish.",0.5556,0.0193,0.4438,0.4737
img_016,"Man sitting in front of a fish market holding a basket of fish. White shirt, gray pants, surrounded by blue baskets of fish and people.","A man sitting at a local fish market stall holding a basket of fish, surrounded by blue baskets full of fish and other people.",0.6400,0.0909,0.6808,0.7347
